Reférence,Numero d'inscription,Date D'Emprunt,Date De Retour
A12;123457;2023-03-27;2023-03-29
A14;123456;2023-03-26;2023-03-31
A13;123451;2023-03-28;2023-03-30
A13;123450;2023-03-28;2023-04-04
A15;123456;2023-03-30;2023-03-31
A12;123458;2023-04-03;2023-04-04
A10;123459;2023-03-29;2023-04-05
A10;123453;2023-04-01;0
A12;123452;2023-04-05;0
A14;123456;2023-04-08;0
A16;000001;2023-04-30;2023-05-01
A17;000011;2023-04-30;0
A17;000015;2023-04-30;0
A17;000023;2023-04-30;2023-05-02
A12;000015;2023-03-29;2023-04-06
